index,Date,Gold
920,2020-07-09,65
921,2020-07-10,64
922,2020-07-11,62
923,2020-07-12,59
924,2020-07-13,61
925,2020-07-14,60
926,2020-07-15,61
927,2020-07-16,62
928,2020-07-17,63
929,2020-07-18,62
930,2020-07-19,60
931,2020-07-20,64
932,2020-07-21,60
933,2020-07-22,68
934,2020-07-23,68
935,2020-07-24,70
936,2020-07-25,69
937,2020-07-26,66
938,2020-07-27,75
939,2020-07-28,81
940,2020-07-29,77
941,2020-07-30,73
942,2020-07-31,74
943,2020-08-01,72
944,2020-08-02,70
945,2020-08-03,70
946,2020-08-04,73
947,2020-08-05,82
948,2020-08-06,84
949,2020-08-07,82
950,2020-08-08,81
951,2020-08-09,72
952,2020-08-10,82
953,2020-08-11,79
954,2020-08-12,99
955,2020-08-13,100
956,2020-08-14,90
957,2020-08-15,83
958,2020-08-16,79
959,2020-08-17,87
960,2020-08-18,83
961,2020-08-19,74
962,2020-08-20,80
963,2020-08-21,74
964,2020-08-22,75
965,2020-08-23,71
966,2020-08-24,76
967,2020-08-25,77
968,2020-08-26,77
969,2020-08-27,76
970,2020-08-28,76
971,2020-08-29,75
972,2020-08-30,74
973,2020-08-31,74
974,2020-09-01,71
975,2020-09-02,72
976,2020-09-03,79
977,2020-09-04,76
978,2020-09-05,77
979,2020-09-06,67
980,2020-09-07,68
981,2020-09-08,67
982,2020-09-09,68
983,2020-09-10,65
984,2020-09-11,65
985,2020-09-12,68
986,2020-09-13,64
987,2020-09-14,65
988,2020-09-15,64
989,2020-09-16,65
990,2020-09-17,64
991,2020-09-18,65
992,2020-09-19,66
993,2020-09-20,61
994,2020-09-21,64
995,2020-09-22,69
996,2020-09-23,72
997,2020-09-24,71
998,2020-09-25,75
999,2020-09-26,74
1000,2020-09-27,68
1001,2020-09-28,68
1002,2020-09-29,67
1003,2020-09-30,69
1004,2020-10-01,65
1005,2020-10-02,65
1006,2020-10-03,68
1007,2020-10-04,65
1008,2020-10-05,64
